127.0.0.1 - - [12/May/2020:09:45:33 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/May/2020:09:45:34 +0530] "GET /MyProject/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/May/2020:09:45:34 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:00 +0530] "GET /MyProject/shipment/register HTTP/1.1" 200 12775
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:13 +0530] "GET /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:17 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:19 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:20 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:21 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:22 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:22 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:23 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:24 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:24 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:24 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:25 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:25 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:25 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:25 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:26 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:26 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:29 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:46:45 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12946
0:0:0:0:0:0:0:1 - - [12/May/2020:09:49:02 +0530] "POST /MyProject/sale/register HTTP/1.1" 200 12949
0:0:0:0:0:0:0:1 - - [12/May/2020:09:49:04 +0530] "POST /MyProject/sale/save HTTP/1.1" 200 13093
